photo/tax lesson/910321罰鍰移送觀摩會-1.jpg,910321罰鍰移送觀摩會-1
photo/tax lesson/910321罰鍰移送觀摩會-2.jpg,910321罰鍰移送觀摩會-2
photo/tax lesson/本署及所屬機關九十年度預算管理與會計實務會議-1(20011226).jpg,本署及所屬機關九十年度預算管理與會計實務會議-1(20011226)
photo/tax lesson/本署及所屬機關九十年度預算管理與會計實務會議-2(20011226).jpg,本署及所屬機關九十年度預算管理與會計實務會議-2(20011226)
photo/tax lesson/本署及所屬機關九十年度預算管理與會計實務會議-3(20011226).jpg,本署及所屬機關九十年度預算管理與會計實務會議-3(20011226)
photo/tax lesson/財產管理系統講習-1.jpg,財產管理系統講習-1
photo/tax lesson/財產管理系統講習-2.jpg,財產管理系統講習-2
photo/tax lesson/財稅案件執行實務講習-1(20000609).jpg,財稅案件執行實務講習-1(20000609)
photo/tax lesson/財稅案件執行實務講習-2(20000609).jpg,財稅案件執行實務講習-2(20000609)
photo/tax lesson/財稅案件執行實務講習-3(20000609).jpg,財稅案件執行實務講習-3(20000609)
photo/tax lesson/財稅案件執行實務講習-4(20000609).jpg,財稅案件執行實務講習-4(20000609)
