封面照片,相簿名稱,相片對應相簿
890101本署佈達-5,本署佈達典禮-1,botel
890101行政執行署成立開始8人,成立報到人員,first member
890516葉部長至本署視察1,葉金鳳部長視察,Ms.Yeh visit
890803陳定南部長視察-2,陳定南部長視察,Mr.Chen visit
92年度司法特考執行官班結訓合影(20050526),執行官訓練,Enforcement Officer training
891229各執行處處長佈達-6彰化,執行處處長佈達及交接,enforcement place leader
本署暨各行政執行處辦公廳舍相關設備購置案-2(20001006),採購,buy
910321罰鍰移送觀摩會-1,財稅案件實務講習,tax lesson
901224 90年執行員分發,執行員分發,Enforcement person
911121第二十三次行政執行業務會報合影,業務會報,work meeting
行政院模範公務員--黃清赤主秘-1(20010612),行政院模範公務員,best worker
89年會計業務巡查(900103),會計業務巡查及座談,accounting check
九十二年度績優替代役役男研習會-3(20031204),替代役,alternative military
920502執行人員第一款制服,執行員制服,enforcement person clothes
法務部行政執行署及所屬94年度秘書室綜合業務研習會-2(20051226),秘書室研習,Secretary room workshop
署處聲明異議研習會-2(20040531),聲明異議研討會,Objection Statement workshop
彰化處動產(車輛)拍賣-3(20041209),拍賣,sale
施部長視察台中行政執行處-1(20060106),施部長訪視,Mr.shih visit
執行績效突破3500億元 活動留影-1(20130710),執行成果展,special events
王部長視察台中行政執行處-3(20090316),王部長訪視,Ms.Wang visit
990617 法務部98年度服務品質績優機關-服務規劃機關獎,服務品質獎,other events
法務部行政執行署及士林分署新建辦公大樓落成啟用典禮-2(20130108),新建辦公大樓,new building
羅部長訪視行政執行署及士林分署-3(20131118),羅部長訪視,Ms.Luo visit
