photo/special events/20060802 千億成果發表024.JPG,20060802 千億成果發表024
photo/special events/20060802 千億成果發表025.JPG,20060802 千億成果發表025
photo/special events/20060802 千億成果發表026.JPG,20060802 千億成果發表026
photo/special events/20060802 千億成果發表040.JPG,20060802 千億成果發表040
photo/special events/20060802千億成果發表-1.jpg,20060802千億成果發表-1
photo/special events/20060802千億成果發表-2.jpg,20060802千億成果發表-2
photo/special events/執行績效突破1000億(20060802).jpg,執行績效突破1000億(20060802)
photo/special events/執行績效突破3500億元 活動留影-1(20130710).jpg,執行績效突破3500億元 活動留影-1(20130710)
photo/special events/執行績效突破3500億元 活動留影-2(20130710).jpg,執行績效突破3500億元 活動留影-2(20130710)
photo/special events/執行績效突破3500億元 活動留影-3(20130710).jpg,執行績效突破3500億元 活動留影-3(20130710)
photo/special events/突破1500億元成果展-1(20080527).jpg,突破1500億元成果展-1(20080527)
photo/special events/突破1500億元成果展-2(20080527).jpg,突破1500億元成果展-2(20080527)
photo/special events/突破1500億元成果展-3(20080527).jpg,突破1500億元成果展-3(20080527)
photo/special events/突破1500億元成果展-4(20080527).jpg,突破1500億元成果展-4(20080527)
